sport,country,medal-type,pct
Aquatics,USA,all,25.39
Aquatics,USA,weighted-all,27.589999999999996
Aquatics,USA,gold,32.95
Archery,KOR,all,36.11
Archery,KOR,weighted-all,43.75
Archery,KOR,gold,62.5
Athletics,USA,all,17.73
Athletics,USA,weighted-all,18.91
Athletics,USA,gold,21.19
Badminton,CHN,all,41.760000000000005
Badminton,CHN,weighted-all,43.82
Badminton,CHN,gold,55.17
Baseball,CUB,all,33.33
Baseball,CUB,weighted-all,43.33
Baseball,CUB,gold,60.0
Basketball,USA,all,33.33
Basketball,USA,weighted-all,44.440000000000005
Basketball,USA,gold,83.33
Boxing,CUB,all,14.790000000000001
Boxing,CUB,weighted-all,19.52
Boxing,CUB,gold,30.99
Canoe,GER,all,18.4
Canoe,GER,weighted-all,20.49
Canoe,GER,gold,27.08
Cycling,GBR,all,12.85
Cycling,GBR,weighted-all,14.760000000000002
Cycling,GBR,gold,20.83
Equestrian,GER,all,25.929999999999996
Equestrian,GER,weighted-all,29.630000000000003
Equestrian,GER,gold,41.67
Fencing,ITA,all,20.69
Fencing,ITA,weighted-all,21.84
Fencing,ITA,gold,27.59
Football,USA,all,15.15
Football,USA,weighted-all,21.21
Football,USA,gold,36.36
Gymnastics,CHN,all,17.349999999999998
Gymnastics,CHN,weighted-all,18.48
Gymnastics,CHN,gold,21.9
Handball,ESP,all,11.110000000000001
Handball,DEN,weighted-all,12.5
Handball,DEN,gold,25.0
Hockey,NED,all,25.0
Hockey,NED,weighted-all,27.779999999999998
Hockey,GER,gold,33.33
Judo,JPN,all,14.879999999999999
Judo,JPN,weighted-all,18.709999999999997
Judo,JPN,gold,26.19
Modern Pentathlon,GBR,all,15.15
Modern Pentathlon,RUS,weighted-all,16.669999999999998
Modern Pentathlon,RUS,gold,27.27
Rowing,GER,all,11.51
Rowing,GER,weighted-all,12.3
Rowing,GBR,gold,14.29
Sailing,GBR,all,12.7
Sailing,GBR,weighted-all,14.29
Sailing,GBR,gold,15.87
Shooting,CHN,all,14.860000000000001
Shooting,CHN,weighted-all,16.12
Shooting,CHN,gold,19.57
Softball,AUS,all,33.33
Softball,USA,weighted-all,45.83
Softball,USA,gold,75.0
Table Tennis,CHN,all,55.26
Table Tennis,CHN,weighted-all,66.89
Table Tennis,CHN,gold,91.67
Taekwondo,KOR,all,12.5
Taekwondo,KOR,weighted-all,17.31
Taekwondo,KOR,gold,31.25
Tennis,USA,all,20.25
Tennis,USA,weighted-all,25.319999999999997
Tennis,USA,gold,44.0
Triathlon,AUS,all,20.830000000000002
Triathlon,AUS,weighted-all,18.75
Triathlon,SUI,gold,25.0
Volleyball,BRA,all,28.79
Volleyball,BRA,weighted-all,29.549999999999997
Volleyball,USA,gold,31.82
Weightlifting,CHN,all,16.46
Weightlifting,CHN,weighted-all,20.8
Weightlifting,CHN,gold,31.25
Wrestling,RUS,all,13.15
Wrestling,RUS,weighted-all,15.540000000000001
Wrestling,RUS,gold,22.73
