sport,event,country,weighted-pct
Archery,ind. fita,KOR,100.0
Athletics,3000m steeplechase,KEN,68.52000000000001
Table Tennis,singles,CHN,67.44
Table Tennis,doubles,CHN,64.52
Aquatics,3m springboard,CHN,63.1
Athletics,110m hurdles,USA,59.519999999999996
Aquatics,4x200m freestyle,AUS,58.330000000000005
Aquatics,100m breaststroke,AUS,56.52
Aquatics,4x100m freestyle,AUS,55.00000000000001
Aquatics,4x200m freestyl,USA,52.080000000000005
Tennis,mixed doubles,BLR,50.0
Weightlifting,- 54kg,TUR,50.0
Weightlifting,-52kg,BUL,50.0
Canoe,c-1 200m,UKR,50.0
Archery,ind. fita round,USA,50.0
Weightlifting,54 - 59kg,CHN,50.0
Wrestling,58 - 63kg,RUS,50.0
Archery,teams fita,KOR,50.0
Aquatics,synchronized 10m,CHN,50.0
Weightlifting,56 - 60kg,TUR,50.0
Weightlifting,56kg,CHN,50.0
Weightlifting,59 - 64kg,TUR,50.0
Weightlifting,99-108kg,UKR,50.0
Weightlifting,91 - 99kg,GRE,50.0
Weightlifting,83 - 91kg,RUS,50.0
Weightlifting,76 - 83kg,GRE,50.0
Weightlifting,+ 108kg,RUS,50.0
Weightlifting,70 - 76kg,CUB,50.0
Sailing,board (ii),NZL,50.0
Cycling,sprint individual,GBR,50.0
Table Tennis,team,CHN,50.0
Canoe,k-2 200m,RUS,50.0
Weightlifting,64 - 70kg,CHN,50.0
Shooting,skeet,USA,50.0
Shooting,double trap,GBR,50.0
Shooting,25m rapid pistol,CUB,50.0
Cycling,kerin,GBR,50.0
Sailing,49er - skiff,AUS,50.0
Cycling,olympic sprint,FRA,50.0
Rowing,lightweight four,RSA,50.0
Rowing,four-oared with,GDR,50.0
Gymnastics,group competition,RUS,50.0
Aquatics,1500m freestyle,AUS,47.620000000000005
Aquatics,10m platform,CHN,47.620000000000005
Aquatics,synchronized 10,CHN,47.22
Aquatics,100m backstroke,USA,47.06
Aquatics,4x100m medley,USA,46.43
Aquatics,solo,CAN,46.150000000000006
Wrestling,55 - 63kg,JPN,46.150000000000006
Wrestling,48 - 55kg,JPN,46.150000000000006
Wrestling,63 - 72kg,CHN,46.150000000000006
Badminton,singles,CHN,45.95
Archery,individual,KOR,45.83
Softball,softball,USA,45.83
Weightlifting,+ 105kg,IRI,45.83
Aquatics,4x100m freestyl,USA,45.31
Gymnastics,individual all-round,RUS,44.440000000000005
Aquatics,400m medley,USA,44.05
Athletics,10000m,ETH,44.05
Weightlifting,-56kg,CHN,43.33
Baseball,baseball,CUB,43.33
Judo,+ 72kg,CHN,42.86
Wrestling,wg 66 kg,KOR,42.86
Wrestling,wg 60 kg,IRI,42.86
Wrestling,wg 84 kg,RUS,42.86
Wrestling,wg 55 kg,IRI,42.86
Boxing,75 kg,USA,42.86
Wrestling,wg 120 kg,CUB,42.86
Wrestling,wg 74 kg,RUS,42.86
Boxing,60 kg,IRL,42.86
Wrestling,wf 96 kg,USA,42.86
Wrestling,wf 84 kg,AZE,42.86
Wrestling,wf 74 kg,USA,42.86
Wrestling,wf 72 kg,RUS,42.86
Wrestling,wf 66 kg,JPN,42.86
Wrestling,wf 63 kg,JPN,42.86
Wrestling,wf 60 kg,AZE,42.86
Wrestling,wf 48 kg,JPN,42.86
Wrestling,wf 120 kg,UZB,42.86
Boxing,64 - 69 kg,KAZ,42.86
Wrestling,wg 96 kg,IRI,42.86
Boxing,52kg,CUB,42.86
Boxing,46 - 49kg,CHN,42.86
Basketball,basketball,USA,42.86
Athletics,4x400m relay,USA,42.86
Athletics,400m,USA,42.86
Boxing,51 kg,GBR,42.86
Boxing,56kg,GBR,42.86
Badminton,doubles,CHN,42.309999999999995
Rowing,lightweight 4,DEN,41.67
Shooting,trap,ITA,41.67
Athletics,200m,USA,41.67
Weightlifting,82.5-90kg,EUN,41.67
Weightlifting,77kg,CHN,41.67
Athletics,3000m,EUN,41.67
Shooting,trap (125 targe,TCH,41.67
Athletics,10000m walk,CHN,41.67
Rowing,4- with coxwain,ROU,41.67
Fencing,foil individual,ITA,41.67
Weightlifting,+ 110kg,EUN,41.67
Cycling,500m time trial,AUS,41.67
Weightlifting,90-100kg,EUN,41.67
Archery,team (fita),KOR,41.67
Wrestling,97 - 130kg,RUS,41.67
Rowing,lightweight doubles,GBR,41.67
Rowing,pair-oared with,ITA,41.67
Aquatics,synchronized 3m,CHN,41.67
Gymnastics,group competiti,RUS,41.67
Wrestling,69 - 76kg,USA,41.67
Equestrian,dressage individual,GER,40.48
Aquatics,800m freestyle,USA,40.48
Equestrian,dressage team,GER,40.48
Aquatics,team,RUS,40.0
Shooting,50m runni 30+30,CHN,38.89
Shooting,double trap 120,USA,38.89
Taekwondo,57 - 67 kg,KOR,38.46
Volleyball,beach volleybal,USA,38.33
Canoe,k-1 1000m,NOR,38.1
Athletics,400m hurdles,USA,38.1
Canoe,k-4 500m,GER,38.1
Weightlifting,+ 75kg,CHN,37.5
Weightlifting,58kg,CHN,37.5
Rowing,lightweight dou,ROU,37.5
Weightlifting,69kg,CHN,37.5
Athletics,long jump,USA,36.9
Athletics,100m,USA,35.709999999999994
Judo,+ 95kg,JPN,35.709999999999994
Canoe,k-4 1000m,HUN,35.709999999999994
Canoe,c-2 1000m,GER,35.709999999999994
Athletics,decathlon,USA,35.709999999999994
Aquatics,200m backstroke,USA,35.29
Taekwondo,49 - 57 kg,KOR,34.62
Wrestling,- 55kg,RUS,34.62
Taekwondo,+ 80 kg,KOR,34.62
Wrestling,84 - 96kg,RUS,34.62
Aquatics,50m freestyle,USA,33.72
Sailing,laser radial,CHN,33.33
Shooting,10m runni 30+30,CHN,33.33
Shooting,50m rifle 3 position,USA,33.33
Shooting,25m rapid pisto,GER,33.33
Sailing,yngling,GBR,33.33
Sailing,flying dutchman,DEN,33.33
Weightlifting,62kg,CHN,33.33
Cycling,madison,AUS,33.33
Aquatics,200m breaststroke,AUS,33.33
Weightlifting,48kg,CHN,33.33
Canoe,c-1 (single),SVK,33.33
Weightlifting,67.5-75kg,BUL,33.33
Cycling,team sprint,GER,33.33
Aquatics,duet,RUS,33.33
Athletics,20km race walk,RUS,33.33
Athletics,5000m,ETH,33.33
Cycling,omnium,GBR,33.33
Aquatics,100m butterfly,USA,32.940000000000005
Gymnastics,uneven bars,CHN,32.56
Gymnastics,ind. all-round,ROU,32.43
Boxing,71-75kg,CUB,32.14
Canoe,k-2 500m,GER,32.05
Cycling,keirin,GBR,32.0
Gymnastics,beam,USA,31.819999999999997
Gymnastics,individual,CHN,31.25
Athletics,100m hurdles,USA,30.95
Boxing,51 - 54kg,CUB,30.95
Aquatics,200m medley,USA,30.95
Fencing,foil team,ITA,30.56
Rowing,quadruple scull,GER,29.759999999999998
Gymnastics,parallel bars,CHN,29.549999999999997
Aquatics,100m breaststro,USA,29.509999999999998
Weightlifting,94kg,RUS,29.17
Shooting,trap (125),AUS,29.17
Sailing,soling,DEN,29.17
Weightlifting,105kg,RUS,29.17
Shooting,skeet (125),ITA,29.17
Sailing,finn,GBR,28.57
Wrestling,wf 55 kg,JPN,28.57
Shooting,25m pistol,CHN,28.57
Boxing,60 - 64 kg,CUB,28.57
Judo,52 - 56kg,CUB,28.57
Judo,66 - 72kg,JPN,28.57
Judo,70 - 78kg,CHN,28.57
Judo,+ 78kg,CHN,28.57
Judo,+ 100kg,FRA,28.57
Tennis,doubles,USA,28.410000000000004
Sailing,49er,ESP,27.779999999999998
Canoe,c-2 (double),SVK,27.779999999999998
Shooting,10m air pistol,CHN,27.38
Athletics,4x100m relay,USA,27.38
Aquatics,200m butterfly,USA,27.38
Athletics,pole vault,USA,27.27
Weightlifting,75-82.5kg,GRE,27.27
Rowing,coxless four,GBR,27.08
Wrestling,66 - 74kg,RUS,26.919999999999998
Wrestling,96 - 120kg,RUS,26.919999999999998
Sailing,laser,BRA,26.669999999999998
Fencing,_p_e team,FRA,26.669999999999998
Boxing,81 - 91kg,CUB,26.529999999999998
Judo,- 60kg,JPN,26.529999999999998
Gymnastics,individual all,RUS,26.39
Fencing,_p_e individual,FRA,26.39
Hockey,hockey,NED,26.19
Equestrian,eventing team,AUS,26.19
Judo,-48kg,JPN,26.19
Sailing,star,BRA,26.19
Athletics,800m,KEN,26.19
Tennis,singles,USA,26.14
Judo,60 - 66kg,JPN,25.71
Athletics,shot put,USA,25.3
Wrestling,57 - 62kg,USA,25.0
Shooting,skeet (125 targ,CHN,25.0
Wrestling,76 - 85kg,RUS,25.0
Wrestling,85 - 97kg,RUS,25.0
Weightlifting,75kg,RUS,25.0
Rowing,lightweight 2,POL,25.0
Cycling,team pursuit,GBR,25.0
Cycling,individual road race,KAZ,25.0
Sailing,europe,NOR,25.0
Gymnastics,team competition,CHN,25.0
Cycling,team time trial,GDR,25.0
Weightlifting,53kg,THA,25.0
Weightlifting,60-67.5kg,EUN,25.0
Modern Pentathlon,team,HUN,25.0
Boxing,60 - 63.5kg,CUB,25.0
Canoe,k-1 200m,GBR,25.0
Cycling,individual,LAT,25.0
Cycling,cross-country,FRA,25.0
Judo,57 - 63kg,JPN,25.0
Sailing,board (lechner),FRA,25.0
Wrestling,54 - 58kg,BUL,25.0
Fencing,sabre individual,HUN,25.0
Weightlifting,100-110kg,GER,25.0
Wrestling,48 - 54kg,AZE,25.0
Wrestling,63 - 69kg,CAN,25.0
Gymnastics,floor exercises,ROU,25.0
Aquatics,200m breaststro,HUN,24.240000000000002
Cycling,ind. pursuit,GBR,24.240000000000002
Equestrian,jumping team,USA,23.810000000000002
Shooting,50m pistol,KOR,23.810000000000002
Boxing,48 - 51kg,CUB,23.810000000000002
Equestrian,eventing individual,NZL,23.810000000000002
Athletics,high jump,RUS,23.330000000000002
Wrestling,60 - 66kg,UKR,23.080000000000002
Taekwondo,+ 67 kg,CHN,23.080000000000002
Taekwondo,- 49 kg,CHN,23.080000000000002
Wrestling,55 - 60kg,RUS,23.080000000000002
Taekwondo,58 - 68 kg,IRI,23.080000000000002
Judo,73 - 81kg,KOR,22.86
Aquatics,400m freestyle,USA,22.62
Gymnastics,vault,ROU,22.35
Shooting,skeet (75),AZE,22.220000000000002
Gymnastics,rings,CHN,22.220000000000002
Cycling,sprint ind.,GER,22.220000000000002
Wrestling,68 - 74kg,KOR,22.220000000000002
Wrestling,100 - 130kg,USA,22.220000000000002
Aquatics,100m freestyle,USA,22.09
Cycling,time trial,USA,22.03
Boxing,67 - 71kg,USA,21.43
Equestrian,jumping individual,NED,21.43
Athletics,50km walk,POL,21.43
Canoe,k-2 1000m,GER,21.43
Judo,71 - 78kg,JPN,21.43
Judo,56 - 61kg,FRA,21.43
Boxing,63.5 - 67kg,RUS,21.43
Judo,60 - 65kg,BRA,21.43
Judo,65 - 71kg,FRA,21.43
Judo,63 - 70kg,JPN,21.43
Athletics,marathon,KEN,21.43
Shooting,10m air rifle,CHN,21.43
Judo,61 - 66kg,CUB,21.43
Judo,86 - 95kg,BRA,21.43
Judo,78 - 86kg,AUT,21.43
Volleyball,volleyball,BRA,21.43
Aquatics,marathon 10km,GBR,20.830000000000002
Weightlifting,63kg,KAZ,20.830000000000002
Canoe,k-1 (single),FRA,20.830000000000002
Fencing,sabre individua,USA,20.830000000000002
Shooting,double trap 150,AUS,20.830000000000002
Canoe,k-1 500m,HUN,20.51
Wrestling,74 - 84kg,RUS,20.0
Judo,66 - 73kg,KOR,20.0
Cycling,1km time trial,GBR,20.0
Wrestling,90 - 100kg,USA,19.439999999999998
Sailing,tornado,AUS,19.439999999999998
Football,football,USA,19.439999999999998
Taekwondo,- 58 kg,ESP,19.23
Cycling,sprint,AUS,19.05
Rowing,eight with coxs,CAN,19.05
Boxing,-48kg,BUL,19.05
Athletics,heptathlon,GBR,19.05
Canoe,c-1 1000m,GER,19.05
Athletics,1500m,KEN,19.05
Rowing,coxless pair,AUS,19.05
Judo,48 - 52kg,CHN,19.05
Boxing,69 - 75 kg,GBR,19.05
Fencing,sabre team,FRA,18.75
Triathlon,individual,AUS,18.75
Cycling,points race,NED,18.33
Modern Pentathlon,individual,HUN,18.18
Aquatics,water polo,USA,18.18
Athletics,triple jump,USA,18.060000000000002
Gymnastics,team competitio,CHN,18.060000000000002
Sailing,470,AUS,17.86
Judo,81 - 90kg,GEO,17.14
Gymnastics,horizontal bar,GER,17.02
Shooting,trap (75),AUS,16.669999999999998
Weightlifting,85kg,BLR,16.669999999999998
Wrestling,74 - 82kg,KOR,16.669999999999998
Canoe,c-2 500m,CHN,16.669999999999998
Canoe,c-1 500m,RUS,16.669999999999998
Wrestling,62 - 68kg,URS,16.669999999999998
Wrestling,48 - 52kg,NOR,16.669999999999998
Boxing,57 - 60kg,CUB,16.33
Handball,handball,KOR,15.479999999999999
Athletics,discus throw,GER,15.479999999999999
Taekwondo,68 - 80 kg,IRI,15.379999999999999
Aquatics,200m freestyle,AUS,15.290000000000001
Gymnastics,pommel horse,ROU,15.22
Athletics,20km walk,RUS,14.29
Boxing,+ 91kg,GBR,14.29
Judo,52 - 57kg,JPN,14.29
Judo,90 - 100kg,MGL,14.29
Athletics,javelin throw,CZE,14.29
Wrestling,-48kg,JPN,14.29
Boxing,75 - 81kg,USA,14.29
Sailing,board (mistral),GRE,13.889999999999999
Shooting,50m rifle 3 pos,CHN,13.889999999999999
Wrestling,52 - 57kg,USA,13.889999999999999
Athletics,hammer throw,POL,12.5
Sailing,rs:x,CHN,12.5
Cycling,individual road,ITA,12.5
Rowing,double sculls,GER,11.899999999999999
Shooting,50m rifle prone,BLR,11.899999999999999
Wrestling,82 - 90kg,EUN,11.110000000000001
Rowing,single sculls,BLR,10.71
Boxing,54 - 57kg,GER,9.520000000000001
